# Reading audit: every icon reading read against its own picture, at full size.
# key	label	verdict	note   (verdict: checked-DATE | fixed-DATE | PENDING)
# 2026-09-21: the sweep was finished. NOTE FOR ANYONE READING THIS FILE: the 28 rows
# marked fixed-2026-08-22 recorded corrections that were NEVER APPLIED to hotspots2.js -
# the reader shipped the wrong text for a month of sessions, through every rebuild since. A row marked fixed
# here means nothing unless the prose says what the note says. All 43 outstanding rows were
# re-read against their pictures on 2026-09-21 and the prose was rewritten; 47 marker texts
# were corrected with them.
# key	label	verdict	note   (verdict: checked-DATE | fixed-DATE | PENDING)
1700683b5e46	The Anointing at Bethany — Monreale, 12th c.	checked-2026-08-21b	
b9c2dc87cce1	Judas Receiving the Silver — Yaroslavl school, 19th c.	checked-2026-08-21b	
07b286a4112f	The Mystical Supper — Asterios Anagnostos, Adam, 1898	checked-2026-08-21b	
d28b2d1e169e	The Mystical Supper — Kirillo-Belozersky iconostasis, 1497	checked-2026-08-21b	
7a949a6fedd9	Peter and the Cock — Dionysiou, Athos, 1547	checked-2026-08-21b	
51116569bee9	The Prayer in Gethsemane — Theophanes the Cretan, Stavronikita, 16th c.	checked-2026-08-21b	
a1561fe508e3	The Prayer in Gethsemane — Dionysiou, Athos, 1547	checked-2026-08-21b	
dc6723fe4d6e	The Agony in the Garden — Monreale, 12th c.	checked-2026-08-21b	
417a35d2ac73	The Betrayal — Dionysiou, Athos, 1547	checked-2026-08-21b	
acdfedfb6036	The Kiss of Judas — Monreale, 12th c.	checked-2026-08-21b	
30b296dd3bad	The Kiss of Judas — St Nicholas Orphanos, Thessaloniki, 14th c.	checked-2026-08-21b	
8e2957ac4beb	Christ Judged — Dionysiou, Athos, 1547	checked-2026-08-21b	
ffae81c9ac4b	Christ before Caiaphas — Gračanica, Serbia, 14th c.	checked-2026-08-21b	
e17a9e65d38f	Judas Returns the Thirty Pieces — Dionysiou, Athos, 1547	checked-2026-08-21b	
30c3b64eb461	The End of Judas — Gelati, Georgia, 18th c.	checked-2026-08-21b	
6023be53979c	Pilate Washing His Hands — Dionysiou, Athos, 1547	checked-2026-08-21b	
